network,predictor,fraction,k,top_k,precision,recall,TP
Caltech36,Common Neighbors,0.05,50,0.42,0.42,0.025240384615384616,21
Caltech36,Common Neighbors,0.05,100,0.38,0.38,0.04567307692307692,38
Caltech36,Common Neighbors,0.05,200,0.305,0.305,0.0733173076923077,61
Caltech36,Common Neighbors,0.05,300,0.27,0.27,0.09735576923076923,81
Caltech36,Common Neighbors,0.05,400,0.245,0.245,0.11778846153846154,98
Caltech36,Jaccard,0.05,50,0.28,0.28,0.016826923076923076,14
Caltech36,Jaccard,0.05,100,0.24,0.24,0.028846153846153848,24
Caltech36,Jaccard,0.05,200,0.215,0.215,0.051682692307692304,43
Caltech36,Jaccard,0.05,300,0.21333333333333335,0.21333333333333335,0.07692307692307693,64
Caltech36,Jaccard,0.05,400,0.195,0.195,0.09375,78
Caltech36,Adamic/Adar,0.05,50,0.3,0.3,0.018028846153846152,15
Caltech36,Adamic/Adar,0.05,100,0.31,0.31,0.037259615384615384,31
Caltech36,Adamic/Adar,0.05,200,0.275,0.275,0.06610576923076923,55
Caltech36,Adamic/Adar,0.05,300,0.2633333333333333,0.2633333333333333,0.09495192307692307,79
Caltech36,Adamic/Adar,0.05,400,0.2275,0.2275,0.109375,91
Caltech36,Common Neighbors,0.1,50,0.52,0.52,0.015615615615615615,26
Caltech36,Common Neighbors,0.1,100,0.51,0.51,0.03063063063063063,51
Caltech36,Common Neighbors,0.1,200,0.5,0.5,0.06006006006006006,100
Caltech36,Common Neighbors,0.1,300,0.43666666666666665,0.43666666666666665,0.07867867867867868,131
Caltech36,Common Neighbors,0.1,400,0.3975,0.3975,0.09549549549549549,159
Caltech36,Jaccard,0.1,50,0.26,0.26,0.007807807807807808,13
Caltech36,Jaccard,0.1,100,0.29,0.29,0.017417417417417418,29
Caltech36,Jaccard,0.1,200,0.305,0.305,0.03663663663663664,61
Caltech36,Jaccard,0.1,300,0.3,0.3,0.05405405405405406,90
Caltech36,Jaccard,0.1,400,0.3025,0.3025,0.07267267267267268,121
Caltech36,Adamic/Adar,0.1,50,0.44,0.44,0.013213213213213212,22
Caltech36,Adamic/Adar,0.1,100,0.44,0.44,0.026426426426426425,44
Caltech36,Adamic/Adar,0.1,200,0.44,0.44,0.05285285285285285,88
Caltech36,Adamic/Adar,0.1,300,0.4033333333333333,0.4033333333333333,0.07267267267267268,121
Caltech36,Adamic/Adar,0.1,400,0.3775,0.3775,0.09069069069069069,151
Caltech36,Common Neighbors,0.15,50,0.62,0.62,0.012414897877452943,31
Caltech36,Common Neighbors,0.15,100,0.58,0.58,0.023227873448137766,58
Caltech36,Common Neighbors,0.15,200,0.525,0.525,0.0420504605526632,105
Caltech36,Common Neighbors,0.15,300,0.5033333333333333,0.5033333333333333,0.06047256708049659,151
Caltech36,Common Neighbors,0.15,400,0.485,0.485,0.0776932318782539,194
Caltech36,Jaccard,0.15,50,0.42,0.42,0.00841009211053264,21
Caltech36,Jaccard,0.15,100,0.43,0.43,0.017220664797757308,43
Caltech36,Jaccard,0.15,200,0.395,0.395,0.031637965558670406,79
Caltech36,Jaccard,0.15,300,0.4,0.4,0.048057669203043656,120
Caltech36,Jaccard,0.15,400,0.385,0.385,0.06167400881057269,154
Caltech36,Adamic/Adar,0.15,50,0.68,0.68,0.013616339607529036,34
Caltech36,Adamic/Adar,0.15,100,0.57,0.57,0.022827392871445733,57
Caltech36,Adamic/Adar,0.15,200,0.525,0.525,0.0420504605526632,105
Caltech36,Adamic/Adar,0.15,300,0.52,0.52,0.062474969963956746,156
Caltech36,Adamic/Adar,0.15,400,0.4975,0.4975,0.07969563476171405,199
Caltech36,Common Neighbors,0.2,50,0.72,0.72,0.010810810810810811,36
Caltech36,Common Neighbors,0.2,100,0.65,0.65,0.01951951951951952,65
Caltech36,Common Neighbors,0.2,200,0.63,0.63,0.03783783783783784,126
Caltech36,Common Neighbors,0.2,300,0.6033333333333334,0.6033333333333334,0.05435435435435435,181
Caltech36,Common Neighbors,0.2,400,0.5575,0.5575,0.06696696696696697,223
Caltech36,Jaccard,0.2,50,0.32,0.32,0.004804804804804805,16
Caltech36,Jaccard,0.2,100,0.45,0.45,0.013513513513513514,45
Caltech36,Jaccard,0.2,200,0.375,0.375,0.02252252252252252,75
Caltech36,Jaccard,0.2,300,0.4,0.4,0.036036036036036036,120
Caltech36,Jaccard,0.2,400,0.4,0.4,0.04804804804804805,160
Caltech36,Adamic/Adar,0.2,50,0.62,0.62,0.009309309309309309,31
Caltech36,Adamic/Adar,0.2,100,0.69,0.69,0.02072072072072072,69
Caltech36,Adamic/Adar,0.2,200,0.62,0.62,0.037237237237237236,124
Caltech36,Adamic/Adar,0.2,300,0.6166666666666667,0.6166666666666667,0.05555555555555555,185
Caltech36,Adamic/Adar,0.2,400,0.5725,0.5725,0.06876876876876876,229
Haverford76,Common Neighbors,0.05,50,0.24,0.24,0.004028197381671702,12
Haverford76,Common Neighbors,0.05,100,0.2,0.2,0.00671366230278617,20
Haverford76,Common Neighbors,0.05,200,0.18,0.18,0.012084592145015106,36
Haverford76,Common Neighbors,0.05,300,0.15333333333333332,0.15333333333333332,0.01544142329640819,46
Haverford76,Common Neighbors,0.05,400,0.135,0.135,0.01812688821752266,54
Haverford76,Jaccard,0.05,50,0.1,0.1,0.0016784155756965425,5
Haverford76,Jaccard,0.05,100,0.12,0.12,0.004028197381671702,12
Haverford76,Jaccard,0.05,200,0.135,0.135,0.00906344410876133,27
Haverford76,Jaccard,0.05,300,0.13666666666666666,0.13666666666666666,0.013763007720711649,41
Haverford76,Jaccard,0.05,400,0.1525,0.1525,0.020476670023497817,61
Haverford76,Adamic/Adar,0.05,50,0.12,0.12,0.002014098690835851,6
Haverford76,Adamic/Adar,0.05,100,0.09,0.09,0.0030211480362537764,9
Haverford76,Adamic/Adar,0.05,200,0.11,0.11,0.007385028533064787,22
Haverford76,Adamic/Adar,0.05,300,0.13,0.13,0.013091641490433032,39
Haverford76,Adamic/Adar,0.05,400,0.1375,0.1375,0.018462571332661968,55
Haverford76,Common Neighbors,0.1,50,0.38,0.38,0.0031889895938234307,19
Haverford76,Common Neighbors,0.1,100,0.33,0.33,0.0055387713997985906,33
Haverford76,Common Neighbors,0.1,200,0.275,0.275,0.009231285666330984,55
Haverford76,Common Neighbors,0.1,300,0.24,0.24,0.012084592145015106,72
Haverford76,Common Neighbors,0.1,400,0.225,0.225,0.015105740181268883,90
Haverford76,Jaccard,0.1,50,0.22,0.22,0.0018462571332661967,11
Haverford76,Jaccard,0.1,100,0.31,0.31,0.005203088284659282,31
Haverford76,Jaccard,0.1,200,0.27,0.27,0.00906344410876133,54
Haverford76,Jaccard,0.1,300,0.24,0.24,0.012084592145015106,72
Haverford76,Jaccard,0.1,400,0.2425,0.2425,0.016280631084256463,97
Haverford76,Adamic/Adar,0.1,50,0.4,0.4,0.003356831151393085,20
Haverford76,Adamic/Adar,0.1,100,0.4,0.4,0.00671366230278617,40
Haverford76,Adamic/Adar,0.1,200,0.34,0.34,0.011413225914736489,68
Haverford76,Adamic/Adar,0.1,300,0.2866666666666667,0.2866666666666667,0.014434373950990266,86
Haverford76,Adamic/Adar,0.1,400,0.265,0.265,0.01779120510238335,106
Haverford76,Common Neighbors,0.15,50,0.44,0.44,0.0024614007607965988,22
Haverford76,Common Neighbors,0.15,100,0.45,0.45,0.005034683374356679,45
Haverford76,Common Neighbors,0.15,200,0.375,0.375,0.008391138957261133,75
Haverford76,Common Neighbors,0.15,300,0.3566666666666667,0.3566666666666667,0.01197135824569255,107
Haverford76,Common Neighbors,0.15,400,0.325,0.325,0.014544640859252628,130
Haverford76,Jaccard,0.15,50,0.28,0.28,0.0015663459386887446,14
Haverford76,Jaccard,0.15,100,0.28,0.28,0.003132691877377489,28
Haverford76,Jaccard,0.15,200,0.315,0.315,0.007048556724099351,63
Haverford76,Jaccard,0.15,300,0.2966666666666667,0.2966666666666667,0.009957484895949878,89
Haverford76,Jaccard,0.15,400,0.2925,0.2925,0.013090176773327366,117
Haverford76,Adamic/Adar,0.15,50,0.5,0.5,0.002797046319087044,25
Haverford76,Adamic/Adar,0.15,100,0.44,0.44,0.0049228015215931975,44
Haverford76,Adamic/Adar,0.15,200,0.41,0.41,0.009174311926605505,82
Haverford76,Adamic/Adar,0.15,300,0.3566666666666667,0.3566666666666667,0.01197135824569255,107
Haverford76,Adamic/Adar,0.15,400,0.3225,0.3225,0.014432759006489148,129
Haverford76,Common Neighbors,0.2,50,0.34,0.34,0.0014265335235378032,17
Haverford76,Common Neighbors,0.2,100,0.41,0.41,0.0034404632038264665,41
Haverford76,Common Neighbors,0.2,200,0.4,0.4,0.006713098934295544,80
Haverford76,Common Neighbors,0.2,300,0.38333333333333336,0.38333333333333336,0.009650079718049844,115
Haverford76,Common Neighbors,0.2,400,0.375,0.375,0.012587060501804146,150
Haverford76,Jaccard,0.2,50,0.36,0.36,0.0015104472602164975,18
Haverford76,Jaccard,0.2,100,0.35,0.35,0.0029369807837543007,35
Haverford76,Jaccard,0.2,200,0.325,0.325,0.00545439288411513,65
Haverford76,Jaccard,0.2,300,0.31333333333333335,0.31333333333333335,0.007887891247797265,94
Haverford76,Jaccard,0.2,400,0.295,0.295,0.009901820928085928,118
Haverford76,Adamic/Adar,0.2,50,0.46,0.46,0.001930015943609969,23
Haverford76,Adamic/Adar,0.2,100,0.43,0.43,0.003608290677183855,43
Haverford76,Adamic/Adar,0.2,200,0.395,0.395,0.00662918519761685,79
Haverford76,Adamic/Adar,0.2,300,0.37,0.37,0.009314424771335067,111
Haverford76,Adamic/Adar,0.2,400,0.36,0.36,0.01208357808173198,144
Swarthmore42,Common Neighbors,0.05,50,0.26,0.26,0.004259501965923985,13
Swarthmore42,Common Neighbors,0.05,100,0.2,0.2,0.00655307994757536,20
Swarthmore42,Common Neighbors,0.05,200,0.15,0.15,0.009829619921363041,30
Swarthmore42,Common Neighbors,0.05,300,0.13666666666666666,0.13666666666666666,0.013433813892529489,41
Swarthmore42,Common Neighbors,0.05,400,0.125,0.125,0.0163826998689384,50
Swarthmore42,Jaccard,0.05,50,0.24,0.24,0.003931847968545216,12
Swarthmore42,Jaccard,0.05,100,0.22,0.22,0.007208387942332897,22
Swarthmore42,Jaccard,0.05,200,0.23,0.23,0.01507208387942333,46
Swarthmore42,Jaccard,0.05,300,0.22333333333333333,0.22333333333333333,0.021952817824377458,67
Swarthmore42,Jaccard,0.05,400,0.2125,0.2125,0.027850589777195282,85
Swarthmore42,Adamic/Adar,0.05,50,0.18,0.18,0.002948885976408912,9
Swarthmore42,Adamic/Adar,0.05,100,0.13,0.13,0.004259501965923985,13
Swarthmore42,Adamic/Adar,0.05,200,0.11,0.11,0.007208387942332897,22
Swarthmore42,Adamic/Adar,0.05,300,0.12,0.12,0.011795543905635648,36
Swarthmore42,Adamic/Adar,0.05,400,0.12,0.12,0.015727391874180863,48
Swarthmore42,Common Neighbors,0.1,50,0.4,0.4,0.00327653997378768,20
Swarthmore42,Common Neighbors,0.1,100,0.28,0.28,0.0045871559633027525,28
Swarthmore42,Common Neighbors,0.1,200,0.23,0.23,0.007536041939711665,46
Swarthmore42,Common Neighbors,0.1,300,0.2,0.2,0.009829619921363041,60
Swarthmore42,Common Neighbors,0.1,400,0.1975,0.1975,0.012942332896461337,79
Swarthmore42,Jaccard,0.1,50,0.28,0.28,0.0022935779816513763,14
Swarthmore42,Jaccard,0.1,100,0.35,0.35,0.005733944954128441,35
Swarthmore42,Jaccard,0.1,200,0.32,0.32,0.010484927916120577,64
Swarthmore42,Jaccard,0.1,300,0.30333333333333334,0.30333333333333334,0.014908256880733946,91
Swarthmore42,Jaccard,0.1,400,0.2875,0.2875,0.01884010484927916,115
Swarthmore42,Adamic/Adar,0.1,50,0.34,0.34,0.002785058977719528,17
Swarthmore42,Adamic/Adar,0.1,100,0.26,0.26,0.004259501965923985,26
Swarthmore42,Adamic/Adar,0.1,200,0.235,0.235,0.007699868938401048,47
Swarthmore42,Adamic/Adar,0.1,300,0.24,0.24,0.011795543905635648,72
Swarthmore42,Adamic/Adar,0.1,400,0.2225,0.2225,0.014580602883355177,89
Swarthmore42,Common Neighbors,0.15,50,0.42,0.42,0.0022933275090095007,21
Swarthmore42,Common Neighbors,0.15,100,0.4,0.4,0.004368242874303811,40
Swarthmore42,Common Neighbors,0.15,200,0.33,0.33,0.007207600742601288,66
Swarthmore42,Common Neighbors,0.15,300,0.2866666666666667,0.2866666666666667,0.009391722179753195,86
Swarthmore42,Common Neighbors,0.15,400,0.265,0.265,0.0115758436169051,106
Swarthmore42,Jaccard,0.15,50,0.38,0.38,0.0020749153652943105,19
Swarthmore42,Jaccard,0.15,100,0.38,0.38,0.004149830730588621,38
Swarthmore42,Jaccard,0.15,200,0.355,0.355,0.007753631101889265,71
Swarthmore42,Jaccard,0.15,300,0.33666666666666667,0.33666666666666667,0.011029813257617123,101
Swarthmore42,Jaccard,0.15,400,0.3425,0.3425,0.014961231844490554,137
Swarthmore42,Adamic/Adar,0.15,50,0.5,0.5,0.002730151796439882,25
Swarthmore42,Adamic/Adar,0.15,100,0.41,0.41,0.004477448946161406,41
Swarthmore42,Adamic/Adar,0.15,200,0.345,0.345,0.007535218958174075,69
Swarthmore42,Adamic/Adar,0.15,300,0.3233333333333333,0.3233333333333333,0.010592988970186743,97
Swarthmore42,Adamic/Adar,0.15,400,0.31,0.31,0.013541552910341814,124
Swarthmore42,Common Neighbors,0.2,50,0.5,0.5,0.002047669751822426,25
Swarthmore42,Common Neighbors,0.2,100,0.45,0.45,0.0036858055532803667,45
Swarthmore42,Common Neighbors,0.2,200,0.39,0.39,0.006388729625685969,78
Swarthmore42,Common Neighbors,0.2,300,0.36666666666666664,0.36666666666666664,0.009009746908018675,110
Swarthmore42,Common Neighbors,0.2,400,0.3375,0.3375,0.0110574166598411,135
Swarthmore42,Jaccard,0.2,50,0.4,0.4,0.0016381358014579408,20
Swarthmore42,Jaccard,0.2,100,0.45,0.45,0.0036858055532803667,45
Swarthmore42,Jaccard,0.2,200,0.44,0.44,0.00720779752641494,88
Swarthmore42,Jaccard,0.2,300,0.43333333333333335,0.43333333333333335,0.010647882709476615,130
Swarthmore42,Jaccard,0.2,400,0.41,0.41,0.013432713571955116,164
Swarthmore42,Adamic/Adar,0.2,50,0.36,0.36,0.0014743222213121467,18
Swarthmore42,Adamic/Adar,0.2,100,0.4,0.4,0.0032762716029158816,40
Swarthmore42,Adamic/Adar,0.2,200,0.355,0.355,0.00581538209517569,71
Swarthmore42,Adamic/Adar,0.2,300,0.36,0.36,0.00884593332787288,108
Swarthmore42,Adamic/Adar,0.2,400,0.3225,0.3225,0.010565975919403718,129
